FILE_NAME_1,FILE_NAME_2,TIME_STAMP_1,TIME_STAMP_2,RESULT_URL,PERC_SIM_1 [%],PERC_SIM_2 [%],LINES_MATCHES
ab0343-lim-50/2022-02-04_12-30-24_db7682b54cf57d2acc41bcc3f1a4f047d29fe0ee.c,ab0383-lim-50/2022-02-04_12-08-56_ecb14ebf93fc3aa8b9ea02ed51eaac3503ef33df.c,2022-02-04_12-30-24,2022-02-04_12-08-56,http://moss.stanford.edu/results/7/2577632910019,64.0,63.0,241
ab0343-lim-50/2022-02-04_12-10-23_3a5a2db70324602939ac4322d69fb778d9a3aec8.c,ab0383-lim-50/2022-02-04_12-08-56_ecb14ebf93fc3aa8b9ea02ed51eaac3503ef33df.c,2022-02-04_12-10-23,2022-02-04_12-08-56,http://moss.stanford.edu/results/7/2577632910019,64.0,63.0,237
ab0343-lim-50/2022-02-04_12-06-23_bab4a637a2234d719edce897b653042f353a3f18.c,ab0383-lim-50/2022-02-04_12-08-56_ecb14ebf93fc3aa8b9ea02ed51eaac3503ef33df.c,2022-02-04_12-06-23,2022-02-04_12-08-56,http://moss.stanford.edu/results/7/2577632910019,64.0,63.0,240
ab0343-lim-50/2022-02-04_12-00-23_245c79ec5f3f3e7f86c52f58074edbaa9f71ec3c.c,ab0383-lim-50/2022-02-04_12-08-56_ecb14ebf93fc3aa8b9ea02ed51eaac3503ef33df.c,2022-02-04_12-00-23,2022-02-04_12-08-56,http://moss.stanford.edu/results/7/2577632910019,64.0,63.0,227
ab0343-lim-50/2022-02-04_11-59-53_bd2b0f2ae66cb424eb262bc4a521a393379ed6f3.c,ab0383-lim-50/2022-02-04_12-08-56_ecb14ebf93fc3aa8b9ea02ed51eaac3503ef33df.c,2022-02-04_11-59-53,2022-02-04_12-08-56,http://moss.stanford.edu/results/7/2577632910019,64.0,63.0,227
ab0343-lim-50/2022-02-04_11-58-53_ba9a5258146f4ac9467b59d3bd889eec9d56cd75.c,ab0383-lim-50/2022-02-04_12-05-56_4b1844cf3d4ee64714fad94204e3b1469668d77c.c,2022-02-04_11-58-53,2022-02-04_12-05-56,http://moss.stanford.edu/results/7/2577632910019,64.0,64.0,230
ab0343-lim-50/2022-02-04_12-57-55_69206aec29723b7001715b50a71ac3fd5f9e5ee1.c,ab0383-lim-50/2022-02-04_12-05-56_4b1844cf3d4ee64714fad94204e3b1469668d77c.c,2022-02-04_12-57-55,2022-02-04_12-05-56,http://moss.stanford.edu/results/7/2577632910019,63.0,63.0,240
ab0343-lim-50/2022-02-04_12-37-24_f3e489fe6f6296f3a1f10f51bc33cedbfa9fcaab.c,ab0383-lim-50/2022-02-04_12-26-56_2af8e2cd872cd07b9002f8bec239c3ebee09e5f6.c,2022-02-04_12-37-24,2022-02-04_12-26-56,http://moss.stanford.edu/results/7/2577632910019,63.0,57.0,239
ab0343-lim-50/2022-02-04_12-37-24_f3e489fe6f6296f3a1f10f51bc33cedbfa9fcaab.c,ab0383-lim-50/2022-02-04_12-23-26_c0c4cfa7cc8def9e683aa92bc55abb49ff7f680c.c,2022-02-04_12-37-24,2022-02-04_12-23-26,http://moss.stanford.edu/results/7/2577632910019,63.0,57.0,239
ab0343-lim-50/2022-02-04_12-34-54_e46278b42f18f2bc2aeaf841a7fc056ef2ed2666.c,ab0383-lim-50/2022-02-04_12-26-56_2af8e2cd872cd07b9002f8bec239c3ebee09e5f6.c,2022-02-04_12-34-54,2022-02-04_12-26-56,http://moss.stanford.edu/results/7/2577632910019,63.0,57.0,239
